queue_length,priority,num_doctors,arrival_rate,dept_load,time_of_day,free_doctors,wait_time
5,2,3,0.624,0,7,0,10.0
5,2,3,0.624,0,9,0,11.0
6,2,3,0.624,1,12,0,11.0
5,2,3,0.624,2,14,0,9.0
5,2,3,0.624,3,16,0,9.0
4,2,3,0.624,0,18,0,13.0
5,2,3,0.624,0,19,0,12.0
3,2,3,0.624,0,1,0,7.0
1,0,3,0.624,0,10,0,1.0
3,0,3,0.624,0,11,0,3.0
3,2,3,0.624,1,3,0,11.0
2,2,3,0.624,1,10,0,6.0
1,2,3,0.624,1,16,0,1.0
0,0,3,0.624,0,20,2,0.0
0,2,3,0.624,0,2,3,0.0
0,0,3,0.624,0,9,2,0.0
1,0,3,0.624,0,10,1,0.0
0,1,3,0.624,0,10,1,1.0
0,0,3,0.624,0,14,0,0.0
0,0,3,0.624,0,17,1,0.0
0,2,3,0.624,0,20,1,0.0
0,2,3,0.624,0,21,0,0.0
0,2,3,0.624,0,23,0,1.0
0,2,3,0.624,0,1,0,0.0
0,2,3,0.624,0,2,0,2.0
3,0,3,0.624,0,6,0,0.0
4,0,3,0.624,1,8,0,0.0
1,2,3,0.624,0,3,0,5.0
3,1,3,0.624,1,9,0,3.0
5,1,3,0.624,1,11,0,4.0
2,2,3,0.624,1,3,0,13.0
8,0,3,0.624,1,17,0,0.0
3,2,3,0.624,0,4,0,14.0
9,1,3,0.624,1,21,0,2.0
10,1,3,0.624,3,22,0,2.0
11,1,3,0.624,2,1,0,0.0
13,1,3,0.624,0,3,0,2.0
3,2,3,0.624,0,7,0,23.0
4,2,3,0.624,0,10,0,20.0
5,2,3,0.624,2,13,0,19.0
6,2,3,0.624,3,13,0,20.0
7,2,3,0.624,0,13,0,25.0
8,2,3,0.624,0,13,0,25.0
8,2,3,0.624,3,16,0,23.0
9,2,3,0.624,1,17,0,24.0
8,2,3,0.624,2,20,0,22.0
10,2,3,0.624,1,0,0,21.0
10,2,3,0.624,4,1,0,20.0
12,2,3,0.624,0,1,0,25.0
12,2,3,0.624,1,2,0,24.0
13,2,3,0.624,2,6,0,21.0
4,1,3,0.624,1,9,0,0.0
10,2,3,0.624,0,10,0,23.0
3,1,3,0.624,0,10,0,2.0
11,2,3,0.624,2,11,0,26.0
12,2,3,0.624,3,13,0,25.0
1,1,3,0.624,1,17,0,0.0
13,2,3,0.624,3,13,0,30.0
1,2,3,0.624,1,18,0,2.0
1,0,3,0.624,0,21,0,1.0
1,2,3,0.624,0,20,0,4.0
1,1,3,0.624,0,1,0,0.0
1,2,3,0.624,0,0,0,1.0
1,0,3,0.624,0,3,0,1.0
1,1,3,0.624,0,5,0,2.0
0,2,3,0.624,0,2,0,6.0
3,1,3,0.624,0,10,0,2.0
4,1,3,0.624,0,13,0,0.0
4,1,3,0.624,0,14,0,1.0
5,1,3,0.624,1,15,0,0.0
2,2,3,0.624,0,7,0,9.0
5,0,3,0.624,0,18,0,1.0
6,0,3,0.624,1,19,0,3.0
4,1,3,0.624,1,17,0,6.0
2,2,3,0.624,0,8,0,16.0
8,1,3,0.624,1,1,0,0.0
10,1,3,0.624,1,4,0,0.0
2,2,3,0.624,0,9,0,19.0
9,1,3,0.624,0,5,0,4.0
10,1,3,0.624,1,7,0,3.0
4,2,3,0.624,0,12,0,25.0
3,2,3,0.624,1,17,0,23.0
6,2,3,0.624,2,20,0,21.0
7,2,3,0.624,2,21,0,20.0
8,2,3,0.624,3,22,0,21.0
8,2,3,0.624,2,23,0,22.0
8,2,3,0.624,3,0,0,23.0
8,2,3,0.624,0,2,0,22.0
9,2,3,0.624,0,3,0,22.0
11,2,3,0.624,3,8,0,24.0
10,2,3,0.624,1,13,0,19.0
6,2,3,0.624,2,20,0,13.0
1,1,3,0.624,1,10,0,3.0
3,2,3,0.624,0,5,0,8.0
0,0,3,0.624,0,16,0,0.0
0,2,3,0.624,0,18,0,2.0
1,2,3,0.624,0,20,0,1.0
0,1,3,0.624,0,22,1,0.0
1,2,3,0.624,0,22,1,4.0
2,0,3,0.624,0,4,0,2.0
0,1,3,0.624,0,3,0,4.0
4,1,3,0.624,1,7,0,3.0
4,1,3,0.624,0,8,0,2.0
6,0,3,0.624,1,12,0,2.0
8,0,3,0.624,0,14,0,0.0
7,1,3,0.624,2,13,0,4.0
7,1,3,0.624,0,18,0,1.0
8,1,3,0.624,2,19,0,0.0
8,0,3,0.624,0,21,0,1.0
9,0,3,0.624,3,23,0,0.0
10,0,3,0.624,0,0,0,1.0
11,0,3,0.624,0,2,0,2.0
9,1,3,0.624,3,0,0,4.0
11,1,3,0.624,1,5,0,2.0
13,1,3,0.624,1,9,0,3.0
1,2,3,0.624,1,4,0,32.0
3,2,3,0.624,2,5,0,32.0
13,1,3,0.624,3,15,0,2.0
14,1,3,0.624,2,17,0,1.0
4,2,3,0.624,0,6,0,40.0
5,2,3,0.624,0,9,0,37.0
6,2,3,0.624,1,10,0,40.0
5,2,3,0.624,0,11,0,39.0
7,2,3,0.624,1,15,0,35.0
7,2,3,0.624,2,20,0,37.0
9,2,3,0.624,0,22,0,35.0
11,2,3,0.624,2,1,0,32.0
12,2,3,0.624,4,4,0,32.0
12,2,3,0.624,1,7,0,31.0
12,2,3,0.624,2,8,0,30.0
14,2,3,0.624,2,12,0,28.0
13,2,3,0.624,2,13,0,29.0
13,2,3,0.624,3,22,0,22.0
9,2,3,0.624,2,4,0,18.0
1,0,3,0.624,0,23,0,0.0
1,1,3,0.624,0,0,0,1.0
2,1,3,0.624,1,1,0,2.0
3,1,3,0.624,1,3,0,1.0
4,0,3,0.624,0,6,0,1.0
3,1,3,0.624,0,5,0,5.0
6,0,3,0.624,2,12,0,1.0
2,2,3,0.624,0,19,0,18.0
2,2,3,0.624,0,2,0,12.0
5,1,3,0.624,1,16,0,2.0
3,2,3,0.624,1,4,0,16.0
7,0,3,0.624,1,22,0,0.0
3,2,3,0.624,0,11,0,12.0
7,1,3,0.624,2,1,0,1.0
4,2,3,0.624,0,11,0,15.0
7,0,3,0.624,1,5,0,1.0
5,2,3,0.624,1,11,0,21.0
5,2,3,0.624,1,14,0,20.0
6,2,3,0.624,0,17,0,19.0
8,1,3,0.624,4,15,0,0.0
6,2,3,0.624,2,20,0,19.0
6,2,3,0.624,1,21,0,19.0
6,2,3,0.624,1,0,0,18.0
6,2,3,0.624,1,3,0,16.0
7,2,3,0.624,1,7,0,13.0
8,2,3,0.624,1,8,0,14.0
2,1,3,0.624,0,23,0,2.0
8,2,3,0.624,2,9,0,17.0
8,2,3,0.624,3,12,0,15.0
1,0,3,0.624,0,4,0,2.0
0,2,3,0.624,0,4,0,6.0
0,1,3,0.624,0,13,1,0.0
0,2,3,0.624,0,20,3,0.0
0,0,5,0.197,0,2,5,0.0
0,2,5,0.197,0,7,5,0.0
0,2,5,0.197,0,9,4,0.0
0,0,5,0.197,0,11,3,0.0
1,1,5,0.197,0,13,3,0.0
0,2,5,0.197,0,13,3,0.0
0,0,5,0.197,0,15,1,0.0
0,2,5,0.197,0,18,2,0.0
0,1,5,0.197,0,2,5,0.0
0,1,5,0.197,0,4,4,0.0
0,2,5,0.197,0,5,3,0.0
0,0,5,0.197,0,7,2,0.0
0,1,5,0.197,0,9,2,0.0
0,0,5,0.197,0,10,2,0.0
0,0,5,0.197,0,11,1,0.0
0,2,5,0.197,0,15,2,0.0
0,2,5,0.197,0,3,5,0.0
0,1,5,0.197,0,7,5,0.0
0,2,5,0.197,0,15,4,0.0
0,2,5,0.197,0,22,5,0.0
0,2,5,0.197,0,23,4,0.0
0,1,5,0.197,0,6,4,0.0
0,1,5,0.197,0,11,4,0.0
0,2,5,0.197,0,9,5,0.0
0,1,5,0.197,0,18,5,0.0
0,1,5,0.197,0,20,4,0.0
0,1,5,0.197,0,2,4,0.0
0,2,5,0.197,0,3,3,0.0
0,1,5,0.197,0,5,3,0.0
0,2,5,0.197,0,9,3,0.0
0,1,5,0.197,0,14,4,0.0
0,2,5,0.197,0,15,3,0.0
0,2,5,0.197,0,17,2,0.0
0,2,5,0.197,0,20,2,0.0
0,2,5,0.197,0,22,3,0.0
0,2,5,0.197,0,1,3,0.0
0,2,5,0.197,0,3,2,0.0
0,2,5,0.197,0,14,5,0.0
0,2,5,0.197,0,4,5,0.0
0,2,5,0.197,0,16,5,0.0
0,1,5,0.197,0,22,5,0.0
0,2,5,0.197,0,23,4,0.0
0,0,5,0.197,0,4,3,0.0
0,0,5,0.197,0,5,2,0.0
0,2,5,0.197,0,12,5,0.0
0,2,5,0.197,0,13,4,0.0
0,2,5,0.197,0,18,3,0.0
0,1,5,0.197,0,19,2,0.0
0,0,5,0.197,0,23,5,0.0
0,1,5,0.197,0,5,4,0.0
0,0,5,0.197,0,8,3,0.0
0,2,5,0.197,0,12,4,0.0
0,1,5,0.197,0,0,5,0.0
0,2,5,0.197,0,12,5,0.0
0,2,5,0.197,0,16,5,0.0
0,2,5,0.197,0,23,4,0.0
0,0,5,0.197,0,7,4,0.0
0,2,5,0.197,0,18,5,0.0
0,1,5,0.197,0,14,5,0.0
0,2,5,0.197,0,18,5,0.0
0,1,5,0.197,0,1,4,0.0
0,2,5,0.197,0,2,3,0.0
0,2,5,0.197,0,5,3,0.0
0,2,5,0.197,0,8,4,0.0
0,2,5,0.197,0,11,3,0.0
0,0,5,0.197,0,12,3,0.0
0,0,5,0.197,0,15,3,0.0
0,1,5,0.197,0,17,2,0.0
0,1,5,0.197,0,18,1,0.0
0,2,5,0.197,0,20,1,0.0
0,2,5,0.197,0,21,1,0.0
0,1,5,0.197,0,23,2,0.0
0,0,5,0.197,0,0,2,0.0
0,2,5,0.197,0,5,3,0.0
0,2,5,0.197,0,10,5,0.0
0,1,5,0.197,0,16,5,0.0
0,1,5,0.197,0,19,4,0.0
0,1,5,0.197,0,21,4,0.0
0,1,5,0.197,0,4,5,0.0
0,2,5,0.197,0,8,4,0.0
0,2,5,0.197,0,14,4,0.0
0,2,5,0.197,0,17,4,0.0
0,1,5,0.197,0,18,3,0.0
0,0,5,0.197,0,19,3,0.0
0,1,5,0.197,0,1,4,0.0
0,2,5,0.197,0,2,3,0.0
0,2,5,0.197,0,3,3,0.0
0,2,5,0.197,0,12,5,0.0
0,1,5,0.197,0,20,4,0.0
0,1,5,0.197,0,18,5,0.0
0,2,5,0.197,0,5,5,0.0
0,1,5,0.197,0,12,4,0.0
0,2,5,0.197,0,13,3,0.0
0,2,5,0.197,0,17,4,0.0
0,1,5,0.197,0,20,3,0.0
0,2,5,0.197,0,22,3,0.0
0,1,5,0.197,0,0,2,0.0
0,2,5,0.197,0,1,1,0.0
0,1,5,0.197,0,3,3,0.0
0,1,5,0.197,0,4,2,0.0
0,2,5,0.197,0,6,3,0.0
0,0,5,0.197,0,13,5,0.0
0,0,5,0.197,0,15,4,0.0
0,2,5,0.197,0,6,5,0.0
0,2,4,0.506,0,6,4,0.0
0,2,4,0.506,0,9,3,0.0
0,2,4,0.506,0,11,3,0.0
0,2,4,0.506,0,13,2,0.0
0,2,4,0.506,0,14,1,0.0
0,1,4,0.506,0,15,1,0.0
0,2,4,0.506,0,16,1,0.0
0,0,4,0.506,0,17,0,1.0
0,1,4,0.506,0,20,0,2.0
1,1,4,0.506,0,21,0,2.0
1,1,4,0.506,0,1,0,0.0
2,2,4,0.506,1,22,0,3.0
0,1,4,0.506,0,2,1,0.0
1,1,4,0.506,0,4,0,0.0
1,0,4,0.506,0,5,0,0.0
1,1,4,0.506,1,7,0,1.0
2,1,4,0.506,0,8,0,2.0
2,1,4,0.506,0,9,0,3.0
3,1,4,0.506,1,10,0,2.0
1,0,4,0.506,0,13,0,0.0
0,2,4,0.506,0,3,0,12.0
1,2,4,0.506,1,14,0,3.0
2,1,4,0.506,0,19,0,0.0
2,2,4,0.506,0,15,0,5.0
1,2,4,0.506,1,18,0,3.0
0,2,4,0.506,0,0,4,0.0
0,1,4,0.506,0,2,3,0.0
0,2,4,0.506,0,4,3,0.0
0,2,4,0.506,0,6,2,0.0
0,2,4,0.506,0,7,2,0.0
0,0,4,0.506,0,8,1,0.0
1,0,4,0.506,0,10,0,2.0
2,0,4,0.506,0,11,0,2.0
2,0,4,0.506,0,13,0,0.0
1,1,4,0.506,0,15,0,0.0
0,2,4,0.506,0,9,0,7.0
1,0,4,0.506,0,17,0,0.0
1,2,4,0.506,1,16,0,2.0
0,1,4,0.506,0,20,0,0.0
1,2,4,0.506,0,20,0,2.0
1,1,4,0.506,0,23,0,1.0
1,2,4,0.506,1,22,0,2.0
1,1,4,0.506,0,1,0,0.0
1,0,4,0.506,0,2,0,4.0
5,0,4,0.506,0,5,0,1.0
6,1,4,0.506,2,6,0,1.0
2,2,4,0.506,1,0,0,9.0
5,0,4,0.506,1,11,0,1.0
2,2,4,0.506,0,3,0,9.0
3,2,4,0.506,1,3,0,9.0
4,2,4,0.506,1,4,0,11.0
3,1,4,0.506,0,16,0,1.0
5,2,4,0.506,0,7,0,11.0
5,2,4,0.506,1,9,0,9.0
3,2,4,0.506,0,14,0,5.0
2,1,4,0.506,0,20,0,2.0
4,2,4,0.506,1,17,0,7.0
2,2,4,0.506,0,19,0,8.0
0,2,4,0.506,0,12,4,0.0
0,2,4,0.506,0,21,4,0.0
0,2,4,0.506,0,3,4,0.0
0,2,4,0.506,0,4,3,0.0
0,1,4,0.506,0,6,2,0.0
0,1,4,0.506,0,8,1,0.0
0,1,4,0.506,0,11,2,0.0
0,1,4,0.506,0,12,1,0.0
1,1,4,0.506,1,14,0,0.0
0,2,4,0.506,0,13,0,1.0
0,1,4,0.506,0,16,0,0.0
0,1,4,0.506,0,18,1,0.0
0,0,4,0.506,0,19,1,0.0
0,2,4,0.506,0,20,0,0.0
0,0,4,0.506,0,23,0,0.0
1,0,4,0.506,0,0,0,0.0
0,2,4,0.506,0,0,0,1.0
2,1,4,0.506,0,2,0,1.0
3,1,4,0.506,0,2,0,1.0
1,2,4,0.506,0,1,0,3.0
1,2,4,0.506,0,2,0,5.0
2,0,4,0.506,1,8,0,1.0
4,2,4,0.506,1,2,0,7.0
2,2,4,0.506,0,7,0,3.0
1,2,4,0.506,1,10,0,1.0
0,2,4,0.506,0,13,0,1.0
0,2,4,0.506,0,19,3,0.0
0,1,4,0.506,0,20,2,0.0
0,0,4,0.506,0,22,1,0.0
0,1,4,0.506,0,23,0,0.0
1,1,4,0.506,0,1,0,1.0
0,2,4,0.506,0,0,0,5.0
1,2,4,0.506,0,4,0,1.0
0,2,4,0.506,0,10,2,0.0
0,1,4,0.506,0,21,4,0.0
0,2,4,0.506,0,0,3,0.0
0,2,4,0.506,0,1,2,0.0
0,2,4,0.506,0,6,2,0.0
0,1,4,0.506,0,13,3,0.0
0,1,4,0.506,0,14,2,0.0
0,1,4,0.506,0,16,2,0.0
0,0,4,0.506,0,18,1,0.0
0,2,4,0.506,0,19,1,0.0
0,2,4,0.506,0,20,1,0.0
0,2,4,0.506,0,23,0,0.0
0,2,4,0.506,0,0,0,0.0
0,1,4,0.506,0,1,0,0.0
0,2,4,0.506,0,5,2,0.0
0,0,4,0.506,0,6,1,0.0
0,1,4,0.506,0,7,0,0.0
0,2,4,0.506,0,8,0,0.0
0,0,4,0.506,0,9,0,1.0
1,2,4,0.506,0,10,0,1.0
1,1,4,0.506,0,12,0,0.0
1,1,4,0.506,0,13,0,2.0
2,1,4,0.506,0,15,0,0.0
1,2,4,0.506,0,11,0,4.0
0,1,4,0.506,0,16,0,3.0
0,2,4,0.506,0,20,0,0.0
0,2,4,0.506,0,21,0,0.0
0,1,4,0.506,0,22,0,1.0
1,1,4,0.506,0,23,0,0.0
0,1,4,0.506,0,2,1,0.0
0,2,4,0.506,0,3,0,0.0
0,1,4,0.506,0,9,2,0.0
0,2,4,0.506,0,15,3,0.0
0,1,4,0.506,0,5,4,0.0
0,2,4,0.506,0,8,3,0.0
0,0,4,0.506,0,10,2,0.0
0,0,4,0.506,0,11,1,0.0
0,2,4,0.506,0,12,0,0.0
0,2,4,0.506,0,15,2,0.0
0,0,4,0.506,0,16,2,0.0
0,1,4,0.506,0,18,2,0.0
0,2,4,0.506,0,20,2,0.0
0,2,4,0.506,0,21,1,0.0
0,2,4,0.506,0,0,0,0.0
0,2,4,0.506,0,6,3,0.0
2,0,4,0.506,0,7,3,0.0
3,1,4,0.506,0,7,3,0.0
0,2,4,0.506,0,7,3,0.0
1,0,4,0.506,0,8,0,1.0
5,0,4,0.506,2,13,0,1.0
2,1,4,0.506,0,9,0,6.0
5,0,4,0.506,0,16,0,0.0
2,1,4,0.506,0,10,0,6.0
5,1,4,0.506,2,15,0,3.0
5,1,4,0.506,0,18,0,3.0
1,2,4,0.506,1,7,3,15.0
3,2,4,0.506,1,11,0,13.0
4,2,4,0.506,1,12,0,12.0
6,2,4,0.506,0,16,0,11.0
6,1,4,0.506,0,4,0,2.0
5,2,4,0.506,0,21,0,10.0
6,2,4,0.506,1,21,0,10.0
4,0,4,0.506,0,8,0,4.0
5,1,4,0.506,0,12,0,0.0
7,2,4,0.506,1,21,0,18.0
6,2,4,0.506,2,23,0,17.0
7,2,4,0.506,1,0,0,16.0
6,2,4,0.506,0,3,0,14.0
4,2,4,0.506,1,13,0,6.0
0,2,4,0.506,0,12,4,0.0
0,1,4,0.506,0,15,3,0.0
0,2,4,0.506,0,18,3,0.0
0,0,4,0.506,0,19,2,0.0
0,2,4,0.506,0,20,1,0.0
0,2,4,0.506,0,22,0,0.0
0,2,4,0.506,0,0,0,1.0
2,1,4,0.506,1,2,0,1.0
3,1,4,0.506,2,3,0,0.0
1,2,4,0.506,0,0,0,3.0
2,1,4,0.506,0,6,0,0.0
2,2,4,0.506,1,1,0,5.0
1,2,4,0.506,0,5,0,4.0
0,2,4,0.506,0,10,0,0.0
0,2,4,0.506,0,11,0,0.0
0,1,4,0.506,0,12,0,0.0
1,1,4,0.506,0,14,0,0.0
1,0,4,0.506,0,15,0,0.0
2,0,4,0.506,0,18,0,0.0
1,1,4,0.506,0,16,0,2.0
0,2,4,0.506,0,13,0,6.0
1,2,4,0.506,0,19,0,0.0
2,1,4,0.506,0,22,0,0.0
2,0,4,0.506,0,0,0,2.0
3,1,4,0.506,0,1,0,2.0
4,1,4,0.506,1,1,0,3.0
2,0,4,0.506,0,5,0,2.0
0,2,4,0.506,0,20,0,11.0
1,2,4,0.506,0,21,0,12.0
1,2,4,0.506,0,9,0,1.0
0,0,4,0.506,0,13,1,0.0
0,2,4,0.506,0,9,4,0.0
0,2,4,0.506,0,19,4,0.0
0,2,4,0.506,0,20,3,0.0
0,2,4,0.506,0,22,2,0.0
0,1,4,0.506,0,23,2,0.0
0,2,4,0.506,0,0,1,0.0
0,2,4,0.506,0,2,1,0.0
0,2,4,0.506,0,4,1,0.0
0,0,4,0.506,0,5,0,0.0
0,2,4,0.506,0,6,0,1.0
1,0,4,0.506,0,10,0,0.0
2,1,4,0.506,1,10,0,0.0
0,2,4,0.506,0,9,0,2.0
1,2,4,0.506,0,11,0,1.0
1,1,4,0.506,0,13,0,2.0
3,1,4,0.506,0,15,0,2.0
1,2,4,0.506,0,12,0,6.0
2,2,4,0.506,0,14,0,5.0
3,2,4,0.506,0,16,0,4.0
4,2,4,0.506,0,17,0,8.0
3,2,4,0.506,1,19,0,6.0
2,2,4,0.506,0,21,0,5.0
0,2,4,0.506,0,4,0,0.0
0,0,4,0.506,0,6,1,0.0
1,1,4,0.506,0,6,1,0.0
3,1,4,0.506,0,6,1,3.0
2,2,4,0.506,0,6,1,4.0
1,2,4,0.506,0,10,0,1.0
0,0,4,0.506,0,12,0,0.0
0,2,4,0.506,0,1,4,0.0
0,2,4,0.506,0,2,3,0.0
0,2,4,0.506,0,20,4,0.0
0,2,4,0.506,0,22,3,0.0
1,2,4,0.506,0,22,3,0.0
0,2,4,0.506,0,0,2,0.0
0,0,4,0.506,0,1,1,0.0
0,0,4,0.506,0,4,1,0.0
0,2,4,0.506,0,6,1,0.0
0,0,4,0.506,0,10,2,0.0
0,2,4,0.506,0,11,1,0.0
0,2,4,0.506,0,13,1,0.0
0,2,4,0.506,0,15,1,0.0
2,1,4,0.506,0,19,0,0.0
0,2,4,0.506,0,16,0,4.0
1,2,4,0.506,0,18,0,2.0
2,2,4,0.506,0,20,0,0.0
0,0,4,0.506,0,21,0,5.0
1,1,4,0.506,0,22,0,4.0
2,2,4,0.506,0,23,0,4.0
3,2,4,0.506,0,2,0,1.0
0,1,4,0.506,0,4,0,3.0
1,1,4,0.506,0,5,0,3.0
3,1,4,0.506,2,8,0,0.0
2,2,4,0.506,0,6,0,5.0
3,2,4,0.506,1,7,0,6.0
2,2,4,0.506,0,9,0,6.0
2,2,4,0.506,0,12,0,4.0
1,2,4,0.506,0,16,0,0.0
0,1,4,0.506,0,20,1,0.0
0,2,4,0.506,0,22,0,0.0
0,0,4,0.506,0,1,3,0.0
0,2,4,0.506,0,22,4,0.0
0,2,4,0.506,0,23,3,0.0
0,1,5,0.349,0,1,5,0.0
0,1,5,0.349,0,3,4,0.0
0,0,5,0.349,0,8,4,0.0
0,1,5,0.349,0,13,4,0.0
0,0,5,0.349,0,14,3,0.0
0,1,5,0.349,0,17,3,0.0
0,2,5,0.349,0,18,3,0.0
0,2,5,0.349,0,20,2,0.0
0,2,5,0.349,0,7,5,0.0
0,2,5,0.349,0,8,4,0.0
0,2,5,0.349,0,9,3,0.0
0,1,5,0.349,0,10,2,0.0
0,2,5,0.349,0,18,5,0.0
0,1,5,0.349,0,19,4,0.0
0,2,5,0.349,0,6,5,0.0
0,2,5,0.349,0,6,5,0.0
0,0,5,0.349,0,9,4,0.0
0,0,5,0.349,0,11,3,0.0
0,2,5,0.349,0,14,2,0.0
0,2,5,0.349,0,15,2,0.0
0,1,5,0.349,0,17,1,0.0
0,0,5,0.349,0,22,4,0.0
0,2,5,0.349,0,2,4,0.0
0,2,5,0.349,0,3,3,0.0
0,0,5,0.349,0,9,3,0.0
0,1,5,0.349,0,11,4,0.0
0,2,5,0.349,0,15,4,0.0
0,2,5,0.349,0,19,3,0.0
0,2,5,0.349,0,23,4,0.0
0,2,5,0.349,0,5,5,0.0
0,2,5,0.349,0,22,5,0.0
0,0,5,0.349,0,23,4,0.0
0,2,5,0.349,0,1,3,0.0
0,0,5,0.349,0,2,2,0.0
0,2,5,0.349,0,5,3,0.0
0,2,5,0.349,0,9,3,0.0
0,1,5,0.349,0,14,3,0.0
2,1,5,0.349,0,14,3,0.0
1,2,5,0.349,0,14,3,0.0
0,2,5,0.349,0,16,1,0.0
1,0,5,0.349,0,18,0,0.0
0,1,5,0.349,0,17,0,2.0
1,2,5,0.349,1,19,0,1.0
1,2,5,0.349,0,20,0,1.0
